sheet,venue,title,status,source_url,pdf_url,local_path,error
CCF-A论文,AAAI,Any-Optical-Model: A Universal Foundation Model for Optical Remote Sensing,失败,https://ojs.aaai.org/index.php/AAAI/article/view/37583,,,HTTPError:https://ojs.aaai.org/index.php/AAAI/article/download/37583:HTTP Error 404: Not Found | 非PDF:https://ojs.aaai.org/index.php/AAAI/article/view/37583 | SemanticScholar:HTTPError:HTTP Error 429:
CCF-A论文,AAAI,Frequency-Aware Vision-Language Multimodality Generalization Network for Remote Sensing Image Classification,失败,https://ojs.aaai.org/index.php/AAAI/article/view/38251,,,HTTPError:https://ojs.aaai.org/index.php/AAAI/article/download/38251:HTTP Error 404: Not Found | 非PDF:https://ojs.aaai.org/index.php/AAAI/article/view/38251 | SemanticScholar:HTTPError:HTTP Error 429:
CCF-A论文,AAAI,T-APT: Text-Guided Modality-Aware Prompt Tuning for Arbitrary Multimodal Remote Sensing Data Joint Classification,失败,https://ojs.aaai.org/index.php/AAAI/article/view/42411,,,HTTPError:https://ojs.aaai.org/index.php/AAAI/article/download/42411:HTTP Error 404: Not Found | 非PDF:https://ojs.aaai.org/index.php/AAAI/article/view/42411 | SemanticScholar:HTTPError:HTTP Error 429:
CCF-A论文,CVPR,CF-IPT: Cross-Modal Fusion Interactive Prompt Tuning of Vision-Language Pre-Trained Model for Multisource Remote Sensing Data Classification,成功,https://openaccess.thecvf.com/content/CVPR2026/html/Ji_CF-IPT_Cross-Modal_Fusion_Interactive_Prompt_Tuning_of_Vision-Language_Pre-Trained_Model_CVPR_2026_paper.html,cache,遥感图像分类论文合集/CCF-A论文/CVPR/CF-IPT_ Cross-Modal Fusion Interactive Prompt Tuning of Vision-Language Pre-Trained Model for Multisource Remote Sensing Data Classification.pdf,
CCF-A论文,CVPR,"GeoSANE: Learning Geospatial Representations from Models, Not Data",成功,https://arxiv.org/abs/2603.23408,cache,"遥感图像分类论文合集/CCF-A论文/CVPR/GeoSANE_ Learning Geospatial Representations from Models, Not Data.pdf",
CCF-A论文,CVPR,NeighborMAE: Exploiting Spatial Dependencies between Neighboring Earth Observation Images in Masked Autoencoders Pretraining,成功,https://arxiv.org/abs/2603.02522,cache,遥感图像分类论文合集/CCF-A论文/CVPR/NeighborMAE_ Exploiting Spatial Dependencies between Neighboring Earth Observation Images in Masked Autoencoders Pretraining.pdf,
CCF-A论文,CVPR,ORSATR-X: A Foundation Model based on Differential-and-Excitation Networks for Optical Remote Sensing Object Recognition,成功,https://openaccess.thecvf.com/content/CVPR2026/html/Mo_ORSATR-X_A_Foundation_Model_based_on_Differential-and-Excitation_Networks_for_Optical_CVPR_2026_paper.html,cache,遥感图像分类论文合集/CCF-A论文/CVPR/ORSATR-X_ A Foundation Model based on Differential-and-Excitation Networks for Optical Remote Sensing Object Recognition.pdf,
CCF-A论文,CVPR,QuCNet: Quantum Deep Learning Driven Multi-Circuit Network for Remote Sensing Image Classification,成功,https://openaccess.thecvf.com/content/CVPR2026/html/Komal_QuCNet_Quantum_Deep_Learning_Driven_Multi-Circuit_Network_for_Remote_Sensing_CVPR_2026_paper.html,cache,遥感图像分类论文合集/CCF-A论文/CVPR/QuCNet_ Quantum Deep Learning Driven Multi-Circuit Network for Remote Sensing Image Classification.pdf,
CCF-A论文,CVPR,SARMAE: Masked Autoencoder for SAR Representation Learning,成功,https://arxiv.org/abs/2512.16635,https://arxiv.org/pdf/2512.16635,遥感图像分类论文合集/CCF-A论文/CVPR/SARMAE_ Masked Autoencoder for SAR Representation Learning.pdf,
CCF-A论文,CVPR,TESSERA: Temporal Embeddings of Surface Spectra for Earth Representation and Analysis,成功,https://openaccess.thecvf.com/content/CVPR2026/papers/Feng_TESSERA_Temporal_Embeddings_of_Surface_Spectra_for_Earth_Representation_and_CVPR_2026_paper.pdf,https://openaccess.thecvf.com/content/CVPR2026/papers/Feng_TESSERA_Temporal_Embeddings_of_Surface_Spectra_for_Earth_Representation_and_CVPR_2026_paper.pdf,遥感图像分类论文合集/CCF-A论文/CVPR/TESSERA_ Temporal Embeddings of Surface Spectra for Earth Representation and Analysis.pdf,
